image_id,filename,status,latest_job_id,result_job_id,provider,recognition_model,is_mock,error_message,detection_id,vehicle_type,manufacturer,model,license_plate,plate_readable,confidence,vehicle_confidence,manufacturer_confidence,source_label,vehicle_type_source,vehicle_type_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_detection_confidence,plate_ocr_confidence,plate_text_raw,plate_format,plate_region,plate_ocr_engine,plate_ocr_variant,plate_rectified,plate_perspective_skew,plate_status,plate_crop_filename,plate_rectified_crop_filename
e985d4e5-94e4-448c-b07e-f6f065927066,1.jpg,completed,7ee34518-9fc2-47de-adba-922a2239d36f,7ee34518-9fc2-47de-adba-922a2239d36f,local,local-alpr-v1,False,,da56516c-d6bd-4793-b4f1-3184e5d5cd5e,truck,KAMAZ,,160 ALV 10,True,0.8871,0.8871,0.9895,truck,reference_gallery,0.9851,0.14694940476190477,0.19671052631578947,0.6826636904761905,0.9210526315789473,0.5718005952380952,0.6921052631578948,0.6205357142857143,0.7546052631578948,0.9183,0.9852,160ALV10,kz_civil_2012,Kostanay,ppocr,raw,False,0.1751,accepted,5ab3514fbea04e79a1857ca0f6d829df-before.jpg,5ab3514fbea04e79a1857ca0f6d829df-after.jpg
ddfafd80-0d08-43bd-9fd2-3c4a078a4eff,10.jpg,completed,4167f27f-0f42-457d-90c3-203bc0708252,4167f27f-0f42-457d-90c3-203bc0708252,local,local-alpr-v1,False,,564c59d6-9c01-4f4b-bd5a-03cd95ba670c,truck,,,124 AIX 10,True,0.9059,0.9059,,truck,reference_gallery,0.9869,0.5922619047619048,0.20460526315789473,0.8307291666666666,0.6006578947368421,0.6413690476190477,0.5072368421052632,0.6741071428571429,0.530921052631579,0.9194,0.9786,124AIX10,kz_civil_2012,Kostanay,fast_plate_ocr,rectified,True,0.0294,accepted,84508c562c4c4ab2a4cecb2e5c3b692c-before.jpg,84508c562c4c4ab2a4cecb2e5c3b692c-after.jpg
01cc0dd2-eee5-4503-9ffe-64e69665811f,11.jpg,completed,022d39c9-46e3-417d-b439-89d5459df7cb,022d39c9-46e3-417d-b439-89d5459df7cb,local,local-alpr-v1,False,,e0c2a55a-00b3-4974-ae41-b790ec33d331,truck_light,,,,False,0.8859,0.8859,,truck,reference_gallery,0.9865,0.7418154761904762,0.18947368421052632,0.8876488095238095,0.3980263157894737,0.7719494047619048,0.3256578947368421,0.7957589285714286,0.34078947368421053,0.9077,0.9381,302BL10,,,fast_plate_ocr,raw,False,1.1308,no_matching_plate_format,58bb381e6781429995f89fa981fa6b26-before.jpg,58bb381e6781429995f89fa981fa6b26-after.jpg
bd25573d-4806-4ec5-a5f1-2600f86046d3,12.jpg,completed,dd5f2e02-b9a9-4a66-bce4-26d57544f8d5,dd5f2e02-b9a9-4a66-bce4-26d57544f8d5,local,local-alpr-v1,False,,bcdc174e-d529-4915-a67a-be40697c31e2,trailer,MAN,,153 AJX 10,True,0.73,0.73,0.9847,truck,reference_gallery,0.9702,0.45498511904761907,0.15197368421052632,0.7752976190476191,0.7171052631578947,0.47767857142857145,0.6164473684210526,0.5219494047619048,0.6625,0.8045,0.9345,153AJX10,kz_civil_2012,Kostanay,ppocr,raw,False,0.1784,accepted,e53b8342f4904b60889315bed6b04b85-before.jpg,e53b8342f4904b60889315bed6b04b85-after.jpg
bd25573d-4806-4ec5-a5f1-2600f86046d3,12.jpg,completed,dd5f2e02-b9a9-4a66-bce4-26d57544f8d5,dd5f2e02-b9a9-4a66-bce4-26d57544f8d5,local,local-alpr-v1,False,,d553d270-0972-4664-81e3-7460745a4b62,trailer,,,,False,0.3742,0.3742,,truck,reference_gallery,0.6991,0.0,0.0,0.49404761904761907,0.9967105263157895,,,,,,,,,,,,,,,,
a2a5c2ba-db50-4996-b352-1530ecc31763,13.jpg,completed,d9b1a8ef-da99-4105-88d7-f86fda23f3b6,d9b1a8ef-da99-4105-88d7-f86fda23f3b6,local,local-alpr-v1,False,,a4ebb15e-f757-4786-a93a-36d914a8d29e,truck_light,,,,False,0.7252,0.7252,,truck,reference_gallery,0.9639,0.10044642857142858,0.28421052631578947,0.2347470238095238,0.4677631578947368,0.13764880952380953,0.4131578947368421,0.15736607142857142,0.4243421052631579,0.9125,0.8671,681AG10,,,ppocr,raw,False,0.012,no_matching_plate_format,b0cb89b3994d4981af470e8fc5792be3-before.jpg,b0cb89b3994d4981af470e8fc5792be3-after.jpg
4b9319f1-a1ff-4e10-8249-6798e656e0f6,14.jpg,completed,b27aced6-be91-4446-a43b-9867cc4fd246,b27aced6-be91-4446-a43b-9867cc4fd246,local,local-alpr-v1,False,,49510253-4ed9-4967-92cc-ed71febe0f45,trailer,,,,False,0.5809,0.5809,,truck,reference_gallery,0.9634,0.06138392857142857,0.23026315789473684,0.2105654761904762,0.5144736842105263,0.109375,0.43355263157894736,0.12276785714285714,0.45592105263157895,0.8888,0.2248,756250,,,fast_plate_ocr,raw,False,0.3166,no_matching_plate_format,a46e1eec8086499a9bc6e56869e814a7-before.jpg,a46e1eec8086499a9bc6e56869e814a7-after.jpg
4b4268f6-54b3-4cb8-8d65-d9747de3bcb5,15.jpg,completed,cca240aa-9cbf-4150-95d8-c60f7fbd8f6a,cca240aa-9cbf-4150-95d8-c60f7fbd8f6a,local,local-alpr-v1,False,,ae805d59-7d7e-4905-8805-f6b3064b1a3d,tractor,,,,False,0.71,0.71,,truck,reference_gallery,0.9849,0.07328869047619048,0.09342105263157895,0.3385416666666667,0.4789473684210526,0.3125,0.2993421052631579,0.32775297619047616,0.3203947368421053,0.3306,0.1131,9,,,fast_plate_ocr,rotated,False,0.0099,no_matching_plate_format,451435de1a4547c2a39dece51ee8f45f-before.jpg,451435de1a4547c2a39dece51ee8f45f-after.jpg
ba21b4cf-00a8-4d34-bc21-9ea31c61d26d,16 (1).jpg,completed,4d068ead-939c-4813-a26b-b18df6770e31,4d068ead-939c-4813-a26b-b18df6770e31,local,local-alpr-v1,False,,8cd4c12e-11df-451e-84ad-c78bb99a1404,car,,,,False,0.361,0.361,,car,detector,0.361,0.0,0.35657894736842105,0.053943452380952384,0.45,,,,,,,,,,,,,,,,
ba21b4cf-00a8-4d34-bc21-9ea31c61d26d,16 (1).jpg,completed,4d068ead-939c-4813-a26b-b18df6770e31,4d068ead-939c-4813-a26b-b18df6770e31,local,local-alpr-v1,False,,9aae8fca-6ef6-454d-ac54-5a556e949b43,truck,,,,False,0.3855,0.3855,,train,detector,0.3855,0.8121279761904762,0.14736842105263157,0.9840029761904762,0.2835526315789474,,,,,,,,,,,,,,,,
